id,geoid,label,totpop,medage,malevoter,femalevoter
0500000US12001,12001,"Alachua County, Florida",265443,31.6,96919,107507
0500000US12003,12003,"Baker County, Florida",28211,37.7,11072,10202
0500000US12005,12005,"Bay County, Florida",182161,39.8,68551,70054
0500000US12007,12007,"Bradford County, Florida",27317,39.7,11955,9644
0500000US12009,12009,"Brevard County, Florida",585507,47.3,223399,237779
0500000US12011,12011,"Broward County, Florida",1926205,40.4,614657,662562
0500000US12013,12013,"Calhoun County, Florida",14362,41.6,6272,5001
0500000US12015,12015,"Charlotte County, Florida",181067,59.1,73085,78307
0500000US12017,12017,"Citrus County, Florida",145169,56.5,58115,62916
0500000US12019,12019,"Clay County, Florida",211405,39.7,76879,80308
0500000US12021,12021,"Collier County, Florida",371453,50.8,124544,135340
0500000US12023,12023,"Columbia County, Florida",69968,40.4,27892,25659
0500000US12027,12027,"DeSoto County, Florida",36903,40.9,14408,11494
0500000US12029,12029,"Dixie County, Florida",16589,46.5,7527,5844
0500000US12031,12031,"Duval County, Florida",936186,36.2,325938,358002
0500000US12033,12033,"Escambia County, Florida",313491,37.2,118676,122660
0500000US12035,12035,"Flagler County, Florida",109801,51.3,41512,46018
0500000US12037,12037,"Franklin County, Florida",11811,46.4,5604,4130
0500000US12039,12039,"Gadsden County, Florida",45945,40.8,15862,18567
0500000US12041,12041,"Gilchrist County, Florida",17953,42.1,7150,6639
0500000US12043,12043,"Glades County, Florida",13516,47.9,6035,4400
0500000US12045,12045,"Gulf County, Florida",15576,44.9,7496,5254
0500000US12047,12047,"Hamilton County, Florida",14326,40.9,6642,4487
0500000US12049,12049,"Hardee County, Florida",27131,35.4,9821,8564
0500000US12051,12051,"Hendry County, Florida",40732,34,11483,11418
0500000US12053,12053,"Hernando County, Florida",186313,49,70415,77943
0500000US12055,12055,"Highlands County, Florida",103437,53.5,38086,41531
0500000US12057,12057,"Hillsborough County, Florida",1422278,37.2,471655,518039
0500000US12059,12059,"Holmes County, Florida",19432,42.7,8249,7116
0500000US12061,12061,"Indian River County, Florida",153989,53.5,57237,64417
0500000US12063,12063,"Jackson County, Florida",47945,41.7,21068,17048
0500000US12065,12065,"Jefferson County, Florida",14161,48,6032,5451
0500000US12067,12067,"Lafayette County, Florida",8637,37.3,4010,2385
0500000US12069,12069,"Lake County, Florida",345867,46.9,126745,140083
0500000US12071,12071,"Lee County, Florida",737468,48.5,263434,284808
0500000US12073,12073,"Leon County, Florida",289770,31,105147,121425
0500000US12075,12075,"Levy County, Florida",40403,46.9,15217,16397
0500000US12077,12077,"Liberty County, Florida",8345,40.7,4077,2713
0500000US12079,12079,"Madison County, Florida",18460,43.5,7667,6937
0500000US12081,12081,"Manatee County, Florida",384213,48.3,137309,151238
0500000US12083,12083,"Marion County, Florida",353526,48.7,130803,147725
0500000US12085,12085,"Martin County, Florida",159065,52.2,61024,64656
0500000US12086,12086,"Miami-Dade County, Florida",2699428,39.9,747226,844988
0500000US12087,12087,"Monroe County, Florida",75798,47.7,30382,27267
0500000US12089,12089,"Nassau County, Florida",83098,45.3,31875,33389
0500000US12091,12091,"Okaloosa County, Florida",203794,36.9,77820,75068
0500000US12093,12093,"Okeechobee County, Florida",41144,41.1,15593,13578
0500000US12095,12095,"Orange County, Florida",1349746,35.1,448066,474648
0500000US12097,12097,"Osceola County, Florida",351955,35.9,113727,120283
0500000US12099,12099,"Palm Beach County, Florida",1465027,44.8,485271,541898
0500000US12101,12101,"Pasco County, Florida",524602,44.5,191431,206484
0500000US12103,12103,"Pinellas County, Florida",964666,48.1,360797,401609
0500000US12105,12105,"Polk County, Florida",686218,40.2,240570,259175
0500000US12107,12107,"Putnam County, Florida",73252,45.1,27133,28611
0500000US12109,12109,"St. Johns County, Florida",244674,43.7,89400,96576
0500000US12111,12111,"St. Lucie County, Florida",312947,45.1,110972,118701
0500000US12113,12113,"Santa Rosa County, Florida",174755,39.9,68180,64906
0500000US12115,12115,"Sarasota County, Florida",419496,56.1,159465,179263
0500000US12117,12117,"Seminole County, Florida",461402,39.2,162703,178781
0500000US12119,12119,"Sumter County, Florida",125044,67.4,56222,57314
0500000US12121,12121,"Suwannee County, Florida",44046,43.3,16978,16048
0500000US12123,12123,"Taylor County, Florida",21870,42,9749,7474
0500000US12125,12125,"Union County, Florida",15303,39.3,8288,3809
0500000US12127,12127,"Volusia County, Florida",536487,46.6,205916,221241
0500000US12129,12129,"Wakulla County, Florida",32321,40.6,13735,11328
0500000US12131,12131,"Walton County, Florida",68262,44,26751,25881
0500000US12133,12133,"Washington County, Florida",24764,41.5,10846,8662
